accession,tax_id,organism_name,common_name
GCF_902655055.1,9657,Lutra lutra,Eurasian river otter
GCF_011762505.1,61156,Arvicanthis niloticus,Nile rat
GCA_921997135.2,10096,Mus spretus,western wild mouse
GCF_027595985.1,42254,Sorex araneus,European shrew
GCF_030028045.1,575201,Hippopotamus amphibius kiboko,
GCF_021613505.1,89248,Equus quagga,plains zebra
GCA_003704135.2,369710,Peromyscus polionotus subgriseus,
GCF_029407905.1,346063,Bubalus carabanensis,carabao
GCA_030848825.1,9438,Tadarida brasiliensis,Brazilian free-tailed bat
GCF_922984935.1,9662,Meles meles,Eurasian badger
GCA_009493645.1,331036,Bos grunniens x Bos taurus,dzo
GCA_031878705.1,9802,Tapirus indicus,Asiatic tapir
GCF_027574615.1,29078,Eptesicus fuscus,big brown bat
GCF_026419965.1,27615,Kogia breviceps,pygmy sperm whale
GCA_014523465.1,469796,Ovis orientalis,Asiatic mouflon
GCA_027563665.1,9440,Antrozous pallidus,pallid bat
GCF_027406575.1,9470,Nycticebus coucang,slow loris
GCF_019393635.1,33562,Dromiciops gliroides,monito del monte
GCF_020740605.2,9447,Lemur catta,Ring-tailed lemur
GCF_020740685.1,51337,Jaculus jaculus,lesser Egyptian jerboa
GCF_902686445.1,30640,Sciurus carolinensis,gray squirrel
GCA_014182915.2,9904,Bos gaurus,gaur
GCA_030068075.1,9675,Paguma larvata,masked palm civet
GCF_004126475.2,89673,Phyllostomus discolor,pale spear-nosed bat
GCF_009873245.2,9771,Balaenoptera musculus,Blue whale
GCA_903992545.1,59474,Pipistrellus pipistrellus,common pipistrelle
GCF_011100635.1,9337,Trichosurus vulpecula,common brushtail
GCF_949987515.1,9728,Delphinus delphis,saddleback dolphin
GCF_949987535.1,9767,Balaenoptera acutorostrata,minke whale
GCF_950295315.1,9365,Erinaceus europaeus,western European hedgehog
GCF_000165445.2,30608,Microcebus murinus,gray mouse lemur
GCA_009760805.1,62621,Lepus timidus,Mountain hare
GCA_000772465.1,43780,Nasalis larvatus,proboscis monkey
GCF_024542745.1,257877,Macaca thibetana thibetana,
GCF_020826845.1,77932,Diceros bicornis minor,
GCF_028878055.1,9590,Symphalangus syndactylus,siamang
GCA_030015415.1,9400,Cynopterus sphinx,Indian short-nosed fruit bat
GCA_028571685.1,77598,Heterohyrax brucei,yellow-spotted hyrax
GCF_022837055.1,61388,Prionailurus viverrinus,fishing cat
GCA_029410595.1,74864,Martes flavigula,yellow-throated marten
GCF_023091745.1,37181,Budorcas taxicolor,takin
GCA_032313775.1,55040,Urocyon cinereoargenteus,gray fox
GCA_030035585.1,29137,Dugong dugon,dugong
GCF_028018385.1,61452,Neofelis nebulosa,Clouded leopard
GCA_028564815.1,27606,Eubalaena glacialis,North Atlantic right whale
GCA_031876335.1,175524,Hipposideros larvatus,
GCF_015220235.1,27675,Choloepus didactylus,southern two-toed sloth
GCF_008692025.1,42100,Phocoena sinus,vaquita
GCA_028451465.1,34844,Erethizon dorsatum,North American porcupine
GCA_020226045.1,9886,Muntiacus reevesi,Reeves' muntjac
GCA_902686455.2,55149,Sciurus vulgaris,Eurasian red squirrel
GCA_023851605.1,48850,Tamandua tetradactyla,southern tamandua
GCA_025594165.1,64680,Tamias sibiricus,Siberian chipmunk
GCA_026956025.1,78449,Macaca cyclopis,Taiwan macaque
GCF_009834535.1,419612,Camelus ferus,Wild Bactrian camel
GCF_947179515.1,10129,Apodemus sylvaticus,European woodmouse
GCF_963259705.1,98922,Myotis daubentonii,Daubenton's bat
GCA_963383645.1,39082,Muscardinus avellanarius,hazel dormouse
GCF_903995425.1,38674,Onychomys torridus,southern grasshopper mouse
GCA_963455335.1,29065,Martes martes,European pine marten
GCF_019320065.1,1574408,Cervus canadensis,elk
GCF_003255815.1,9565,Theropithecus gelada,gelada
GCF_022355385.1,77151,Mustela nigripes,black-footed ferret
GCF_006229205.1,37032,Suricata suricatta,meerkat
GCA_028646425.1,83653,Grampus griseus,Risso's dolphin
GCA_028533385.1,9690,Panthera onca,jaguar
GCA_028645565.1,100937,Papio papio,Guinea baboon
GCA_028646535.1,9654,Procyon lotor,raccoon
GCF_018350155.1,46844,Leopardus geoffroyi,Geoffroy's cat
GCA_031835075.1,9490,Saguinus oedipus,cotton-top tamarin
GCA_019924945.1,61376,Felis chaus,jungle cat
GCF_030435805.1,9666,Mustela lutreola,European mink
GCA_027409185.1,110931,Cynocephalus volans,Philippine flying lemur
GCA_024291935.2,86973,Okapia johnstoni,okapi
GCA_949987585.1,246814,Pipistrellus pygmaeus,soprano pipistrelle
GCA_024500485.1,561074,Vulpes ferrilata,Tibetan sand fox
GCF_016432865.1,38775,Antechinus flavipes,yellow-footed antechinus
GCF_025265405.1,48708,Mesoplodon densirostris,Blainville's beaked whale
GCA_030463245.1,9629,Vulpes corsac,Corsac fox
GCF_028023285.1,2746895,Balaenoptera ricei,Rice's whale
GCF_009829155.1,36723,Mustela erminea,ermine
GCA_949820135.1,9988,Sylvilagus floridanus,eastern cottontail
GCF_950005125.1,269649,Chionomys nivalis,European snow vole
GCA_023898255.1,261741,Nycticebus bengalensis,Bengal slow loris
GCA_021498465.1,9589,Hylobates pileatus,pileated gibbon
GCF_016906955.1,41426,Phacochoerus africanus,Common warthog
GCF_007474595.2,61383,Lynx canadensis,Canada lynx
GCF_903992535.2,1047088,Arvicola amphibius,Eurasian water vole
GCF_024139225.1,109475,Suncus etruscus,white-toothed pygmy shrew
GCF_903995435.1,60746,Acomys russatus,golden spiny mouse
GCA_951394435.1,9737,Stenella coeruleoalba,striped dolphin
GCF_949774975.1,27610,Lagenorhynchus albirostris,white-beaked dolphin
GCA_949752795.1,48744,Hyperoodon ampullatus,northern bottlenose whale
GCA_963455305.1,61862,Plecotus auritus,brown big-eared bat
GCF_949786415.1,42410,Peromyscus eremicus,cactus mouse
GCA_010411085.1,84702,Cervus hanglu yarkandensis,Yarkand deer
GCA_008782695.1,9888,Muntiacus muntjak,muntjak
GCF_002201575.2,29088,Neomonachus schauinslandi,Hawaiian monk seal
GCF_023721935.1,29064,Panthera uncia,snow leopard
GCA_028646485.1,94188,Cryptoprocta ferox,fossa
GCA_028551375.1,9638,Tremarctos ornatus,spectacled bear
GCA_028646465.1,9809,Rhinoceros unicornis,greater Indian rhinoceros
GCF_002776525.5,591936,Piliocolobus tephrosceles,Ugandan red Colobus
GCF_900094665.2,10089,Mus caroli,Ryukyu mouse
GCF_008632895.1,35658,Mastomys coucha,southern multimammate mouse
GCF_900095145.1,10093,Mus pahari,shrew mouse
GCA_028975605.1,9719,Pusa sibirica,Baikal seal
GCA_018282465.1,297284,Bos taurus x Bison bison,beefalo
GCA_946052875.1,1705790,Bos gaurus x Bos taurus,hybrid cow
GCA_949786405.1,38679,Onychomys arenicola,Chihuahuan grasshopper mouse
GCA_020276665.1,71854,Muntiacus crinifrons,black muntjac
GCA_023065765.1,56798,Hexaprotodon liberiensis,pygmy hippopotamus
GCA_949786385.1,38668,Onychomys leucogaster,northern grasshopper mouse
GCA_030247045.1,33548,Colobus guereza,mantled guereza
GCA_020854095.1,9279,Dasyurus viverrinus,eastern quoll
GCA_017591445.1,2740528,Giraffa camelopardalis rothschildi,
GCA_021498475.1,30586,Saguinus midas,Midas tamarin
GCA_028533765.1,196297,Pteropus rufus,Malagasy flying fox
GCA_020226075.1,9883,Hydropotes inermis,Chinese water deer
GCA_028627145.1,58063,Eidolon dupreanum,Malagasy straw-colored fruit bat
GCA_028533335.1,68728,Chrysocyon brachyurus,maned wolf
GCA_028551445.1,36231,Miopithecus talapoin,talapoin
GCA_028533245.1,9634,Helarctos malayanus,Malayan sun bear
GCF_016433145.1,191870,Gracilinanus agilis,Agile Gracile Mouse Opossum
GCA_028534135.1,29067,Potos flavus,kinkajou
GCA_028533885.1,352831,Nasua narica,White-nosed coati
GCA_028533395.1,77223,Rousettus madagascariensis,Madagascan rousette
GCA_028646355.1,161921,Arctocephalus townsendi,Guadalupe fur seal
GCA_028533065.1,148073,Trachops cirrhosus,
GCA_028646385.1,46167,Steno bredanensis,rough-toothed dolphin
GCA_015711505.1,365149,Sylvilagus bachmani,brush rabbit
GCA_028644305.1,226860,Xerus rutilus,unstriped ground squirrel
GCA_028533205.1,65632,Lagorchestes hirsutus,rufous hare-wallaby
GCA_028533165.1,30588,Leontopithecus rosalia,golden lion tamarin
GCA_028533215.1,1303000,Babyrousa celebensis,North Sulawesi babirusa
GCA_028551405.1,36800,Uromys caudimaculatus,giant uromys
GCA_028658305.1,298894,Pachyuromys duprasi,fat-tailed gerbil
GCA_028658325.1,173936,Potorous gilbertii,Gilbert's potoroo
GCA_028627215.1,9317,Macropus giganteus,eastern gray kangaroo
GCA_028533085.1,9455,Varecia variegata,ruffed lemur
GCA_028534055.1,34828,Eulemur mongoz,mongoose lemur
GCA_907164435.1,60744,Acomys dimidiatus,
GCA_028534165.1,187985,Coendou prehensilis,
GCA_028583105.1,9316,Macropus fuliginosus,western gray kangaroo
GCA_028627265.1,36225,Cercopithecus mitis,blue monkey
GCA_028646595.1,65615,Phalanger gymnotis,
GCA_028627135.1,37702,Pseudochirops cupreus,coppery ringtail possum
GCA_028646515.1,65629,Pseudochirops corinnae,golden ringtail possum
GCA_907169655.1,83527,Acomys percivali,Percival's spiny mouse
GCA_013496395.1,439328,Giraffa tippelskirchi,
GCA_028646575.1,656515,Pseudocheirus occidentalis,Western ringtail oppossum
GCF_000164845.4,30538,Vicugna pacos,alpaca
GCF_017311325.1,29073,Ursus maritimus,polar bear
GCF_017639785.1,10036,Mesocricetus auratus,golden hamster
GCF_000223135.1,10029,Cricetulus griseus,Chinese hamster
GCF_015252025.1,60711,Chlorocebus sabaeus,green monkey
GCF_011764305.1,9669,Mustela putorius furo,domestic ferret
GCF_000151735.1,10141,Cavia porcellus,domestic guinea pig
GCA_023783515.1,9534,Chlorocebus aethiops,grivet
GCF_000247695.1,10181,Heterocephalus glaber,naked mole-rat
GCF_000767855.1,9837,Camelus bactrianus,Bactrian camel
GCF_000956065.1,9545,Macaca nemestrina,pig-tailed macaque
GCF_021218885.2,9995,Marmota monax,woodchuck
GCA_023781915.1,9557,Papio hamadryas,hamadryas baboon
GCF_022376915.1,68408,Moschus berezovskii,Chinese forest musk deer
GCF_002099425.1,38626,Phascolarctos cinereus,koala
GCF_000334495.1,246437,Tupaia chinensis,Chinese tree shrew
GCA_000181375.1,37347,Tupaia belangeri,northern tree shrew
GCA_030556225.1,10044,Phodopus sungorus,Djungarian hamster
GCF_902806735.1,447135,Myodes glareolus,Bank vole
GCF_014570535.1,9974,Manis javanica,Malayan pangolin
GCF_000001905.1,9785,Loxodonta africana,African savanna elephant
GCF_000147115.1,59463,Myotis lucifugus,little brown bat
GCF_002204375.1,10047,Meriones unguiculatus,Mongolian gerbil
GCF_020975775.1,9643,Ursus americanus,American black bear
GCF_002288925.2,9749,Delphinapterus leucas,beluga whale
GCF_014176215.1,9407,Rousettus aegyptiacus,Egyptian rousette
GCF_000325575.1,9402,Pteropus alecto,black flying fox
GCA_007844835.1,30520,Bos frontalis,gayal
GCA_003118495.1,9543,Macaca fuscata fuscata,Japanese macaque
GCF_021234435.1,9417,Artibeus jamaicensis,Jamaican fruit-eating bat
GCF_000283155.1,73337,Ceratotherium simum simum,southern white rhinoceros
GCF_017591425.1,130825,Ochotona curzoniae,black-lipped pika
GCF_003426925.1,9999,Urocitellus parryii,Arctic ground squirrel
GCF_003160815.1,9627,Vulpes vulpes,red fox
GCF_000622305.1,1026970,Nannospalax galili,Upper Galilee mountains blind mole rat
GCF_000298355.1,72004,Bos mutus,wild yak
GCF_000754665.1,43346,Bison bison bison,
GCF_002102435.1,9880,Odocoileus virginianus texanus,
GCF_905146905.1,34880,Nyctereutes procyonoides,raccoon dog
GCA_024803745.1,10013,Thomomys bottae,Botta's pocket gopher
GCF_014885135.2,100897,Microtus fortis,reed vole
GCA_004025045.1,42415,Sigmodon hispidus,hispid cotton rat
GCF_000151845.1,132908,Pteropus vampyrus,large flying fox
GCA_001675575.1,56216,Neotoma lepida,desert woodrat
GCF_007827085.1,564181,Peromyscus californicus insignis,
GCF_003031525.2,1706337,Neophocaena asiaeorientalis asiaeorientalis,Yangtze finless porpoise
GCA_009660055.1,441215,Ursus thibetanus thibetanus,
GCA_951849835.1,9858,Capreolus capreolus,Western roe deer
GCA_023783475.1,31869,Daubentonia madagascariensis,aye-aye
GCF_014108235.1,51298,Myotis myotis,
GCA_003508835.1,58065,Eonycteris spelaea,lesser dawn bat
GCF_001984765.1,51338,Castor canadensis,American beaver
GCF_004028035.1,34886,Eumetopias jubatus,Steller sea lion
GCF_009761245.1,9515,Sapajus apella,tufted capuchin
GCA_009823505.1,53275,Rhizomys pruinosus,hoary bamboo rat
GCA_015832495.2,9852,Alces alces,Eurasian elk
GCF_012274545.1,885580,Fukomys damarensis,Damara mole-rat
GCA_002406435.1,99837,Spermophilus dauricus,Daurian ground squirrel
GCF_003327715.1,9696,Puma concolor,puma
GCF_000696425.1,482537,Galeopterus variegatus,Sunda flying lemur
GCF_000260255.1,10160,Octodon degus,degu
GCA_004026945.1,37174,Ovis canadensis,bighorn sheep
GCF_022079265.1,61384,Lynx rufus,bobcat
GCA_028537955.1,100895,Microtus californicus,California vole
GCA_029958975.1,9983,Lepus europaeus,European hare
GCF_943737965.1,109678,Phodopus roborovskii,desert hamster
GCA_024711535.1,94247,Dipodomys merriami,Merriam's kangaroo rat
GCF_005190385.1,40151,Monodon monoceros,narwhal
GCF_003676075.3,93162,Marmota flaviventris,yellow-bellied marmot
GCF_000952055.2,37293,Aotus nancymaae,Ma's night monkey
GCF_000955945.1,9531,Cercocebus atys,sooty mangabey
GCA_004026525.1,9433,Miniopterus schreibersii,Schreibers' long-fingered bat
GCF_907164565.1,48139,Psammomys obesus,fat sand rat
GCA_004026605.1,10060,Ondatra zibethicus,muskrat
GCA_004216515.1,9622,Lycaon pictus,African hunting dog
GCF_000696695.1,9798,Equus przewalskii,Przewalski's horse
GCA_027943515.1,73109,Tokudaia osimensis,Amami-oshima island spiny rat
GCA_030674055.1,121573,Rhabdomys pumilio,four-striped grass mouse
GCF_001890085.2,186990,Hipposideros armiger,great roundleaf bat
GCF_000164805.1,1868482,Carlito syrichta,Philippine tarsier
GCF_000243295.1,127582,Trichechus manatus latirostris,Florida manatee
GCF_001698545.2,61621,Rhinopithecus bieti,black snub-nosed monkey
GCA_000152225.2,9813,Procavia capensis,Cape rock hyrax
GCA_007455615.1,47230,Microtus arvalis,Common vole
GCA_004024705.2,68415,Moschus moschiferus,Siberian musk deer
GCF_000181295.1,30611,Otolemur garnettii,small-eared galago
GCA_004025085.1,10169,Thryonomys swinderianus,Greater cane rat
GCA_019593525.1,59515,Addax nasomaculatus,
GCA_004329385.1,9773,Megaptera novaeangliae,humpback whale
GCA_005458795.1,93167,Marmota vancouverensis,Vancouver Island marmot
GCA_011754075.1,48723,Pontoporia blainvillei,franciscana
GCA_017311385.1,118798,Platanista gangetica,Ganges River dolphin
GCF_021234165.1,1884717,Pteronotus parnellii mesoamericanus,
GCF_002288905.1,391180,Enhydra lutris kenyoni,northern sea otter
GCF_000321225.1,9708,Odobenus rosmarus divergens,Pacific walrus
GCA_028583685.1,3040969,Petaurus breviceps papuanus,
GCA_025583905.1,360967,Ia io,Great evening bat
GCF_018167655.1,111838,Microtus oregoni,creeping vole
GCA_028538775.1,159337,Myotis yumanensis,
GCA_023748175.1,593543,Hoolock leuconedys,eastern hoolock gibbon
GCF_014108415.1,27622,Molossus molossus,Pallas's mastiff bat
GCA_026230045.1,124745,Corynorhinus townsendii,Townsend's big-eared bat
GCA_023783455.1,9538,Erythrocebus patas,red guenon
GCA_023783575.1,9514,Cebus albifrons,white-fronted capuchin
GCF_009764315.1,54180,Trachypithecus francoisi,Francois's langur
GCF_014108245.1,59472,Pipistrellus kuhlii,Kuhl's pipistrelle
GCF_019054845.1,105255,Dipodomys spectabilis,banner-tailed kangaroo rat
GCA_027257055.1,9477,Cephalopachus bancanus,Horsfield's tarsier
GCF_016699345.2,39432,Saimiri boliviensis boliviensis,Bolivian squirrel monkey
GCA_902825105.1,9970,Syncerus caffer,African buffalo
GCA_021653895.1,10112,Mastomys natalensis,African soft-furred rat
GCA_021462335.1,37176,Ovibos moschatus,muskox
GCA_900642305.1,37190,Arctocephalus gazella,antarctic fur seal
GCF_006547405.1,9731,Globicephala melas,long-finned pilot whale
GCF_003009895.1,95912,Hyaena hyaena,striped hyena
GCF_004348235.1,9720,Phoca vitulina,harbor seal
GCF_009828535.3,81572,Hylobates moloch,silvery gibbon
GCF_003676395.1,90247,Lagenorhynchus obliquidens,Pacific white-sided dolphin
GCA_004363575.1,79805,Solenodon paradoxus,Hispaniolan solenodon
GCA_007570785.1,9891,Antilocapra americana,pronghorn
GCF_011800145.1,9715,Mirounga leonina,Southern elephant seal
GCA_003798545.1,57737,Axis porcinus,Hog deer
GCA_004025025.1,9801,Tapirus terrestris,Brazilian tapir
GCA_004027455.1,10149,Hydrochoerus hydrochaeris,capybara
GCA_023338255.1,9770,Balaenoptera physalus,Fin whale
GCA_007760645.1,103600,Sousa chinensis,Indo-pacific humpbacked dolphin
GCA_029783875.1,358128,Phataginus tricuspis,Tree pangolin
GCA_005280165.1,93163,Marmota himalayana,Himalayan marmot
GCA_008692635.1,9678,Crocuta crocuta,spotted hyena
GCA_004363495.1,9742,Phocoena phocoena,harbor porpoise
GCA_004027575.1,10085,Cricetomys gambianus,Gambian giant pouched rat
GCA_012922965.1,48560,Capreolus pygargus,Eastern roe deer
GCA_004024965.2,9849,Tragulus javanicus,Java mouse-deer
GCA_021188215.1,9540,Macaca arctoides,stump-tailed macaque
GCA_004026885.1,9413,Megaderma lyra,Indian false vampire
GCA_012583365.1,36722,Martes zibellina,sable
GCF_000276665.1,34839,Chinchilla lanigera,long-tailed chinchilla
GCA_007922755.1,10023,Pedetes capensis,springhare
GCF_001604975.1,2715852,Cebus imitator,Panamanian white-faced capuchin
GCA_023553655.1,55782,Myrmecobius fasciatus,numbat
GCA_004027165.1,43321,Ctenomys sociabilis,social tuco-tuco
GCA_008086735.1,9460,Cheirogaleus medius,Lesser dwarf lemur
GCA_021018665.1,43332,Elaphurus davidianus,Pere David's deer
GCF_000951045.1,9568,Mandrillus leucophaeus,drill
GCA_004024685.1,323379,Dipodomys stephensi,Stephens's kangaroo rat
GCA_016801275.1,143286,Hystrix brachyura,
GCF_000956105.1,379532,Propithecus coquereli,Coquerel's sifaka
GCA_004025065.1,88029,Semnopithecus entellus,Hanuman langur
GCA_004363515.1,9725,Inia geoffrensis,boutu
GCA_003182575.1,59542,Pseudois nayaur,bharal
GCA_004363435.1,48752,Platanista minor,Indus River dolphin
GCF_000313985.2,9371,Echinops telfairi,small Madagascar hedgehog
GCA_007922815.1,9419,Macrotus californicus,California big-eared bat
GCF_000327345.1,225400,Myotis davidii,
GCA_004026855.1,48086,Lepus americanus,snowshoe hare
GCA_002335545.1,105296,Apodemus speciosus,large Japanese field mouse
GCA_000688575.1,37548,Cavia aperea,Brazilian guinea pig
GCA_024510155.1,2888765,Gulo gulo luscus,American wolverine
GCF_001458135.2,9994,Marmota marmota marmota,Alpine marmot
GCA_013239585.1,273914,Lama glama chaku,
GCA_014189135.1,310711,Dicerorhinus sumatrensis harrissoni,
GCA_028564725.1,61408,Otocolobus manul,Pallas's cat
GCA_030846915.1,59451,Eptesicus nilssonii,northern bat
GCF_029834395.1,62283,Sorex fumeus,smoky shrew
GCA_917880005.1,67940,Nanger dama,Dama gazelle
GCF_019186645.2,9423,Phyllostomus hastatus,greater spear-nosed bat
GCA_023783555.1,9509,Ateles geoffroyi,black-handed spider monkey
GCF_024362965.1,9691,Panthera pardus,leopard
GCA_023783085.1,9561,Mandrillus sphinx,mandrill
GCA_023764695.1,310352,Pygathrix nigripes,Black-shanked douc langur
GCA_023783065.1,9586,Nomascus siki,southern white-cheeked gibbon
GCA_026018925.1,70687,Tupaia tana,large tree shrew
GCA_902806775.1,29092,Microtus agrestis,short-tailed field vole
GCF_014898055.3,50954,Talpa occidentalis,Iberian mole
GCF_014824575.3,192404,Sturnira hondurensis,
GCA_023101885.1,687455,Typhlomys cinereus,Soft-furred tree mouse
GCF_012393455.1,9711,Halichoerus grypus,gray seal
GCF_010015895.1,76717,Lontra canadensis,Northern American river otter
GCA_011680675.1,38618,Gymnobelideus leadbeateri,Leadbeater's possum
GCA_003182615.2,72544,Capra sibirica,Siberian ibex
GCF_014754425.2,59534,Oryx dammah,scimitar-horned oryx
GCA_004027375.1,326083,Macroglossus sobrinus,
GCA_020311275.1,204263,Eira barbara,Tayra
GCF_902729225.1,143291,Pteropus giganteus,Indian flying fox
GCA_019141155.1,36239,Mustela nivalis,least weasel
GCA_004023785.1,210652,Mungos mungo,banded mongoose
GCA_004027475.1,27642,Anoura caudifer,tailed tailless bat
GCA_004024845.1,171122,Tonatia saurophila,stripe-headed round-eared bat
GCA_004026585.1,94963,Noctilio leporinus,greater bulldog bat
GCF_003265705.1,34884,Callorhinus ursinus,northern fur seal
GCA_026826555.1,183749,Tolypeutes matacus,
GCA_011751065.1,257879,Aeorestes cinereus,hoary bat
GCA_004023845.1,210647,Helogale parvula,dwarf mongoose
GCA_902729485.2,10105,Mus minutoides,Southern African pygmy mouse
GCF_014898765.1,1608482,Puma yagouaroundi,jaguarundi
GCA_002007465.1,424585,Ailurus styani,
GCA_029532125.1,63225,Lepus townsendii,white-tailed jackrabbit
GCA_004024605.1,9672,Pteronura brasiliensis,giant otter
GCA_006408695.1,9897,Aepyceros melampus,impala
GCA_020662805.1,64683,Glaucomys volans,southern flying squirrel
GCA_019455555.1,202257,Galemys pyrenaicus,
GCA_000164785.2,9358,Choloepus hoffmanni,Hoffmann's two-fingered sloth
GCA_004023965.1,30551,Spilogale gracilis,western spotted skunk
GCA_004026765.1,148065,Micronycteris hirsuta,
GCA_004024585.1,71117,Paradoxurus hermaphroditus,Asian palm civet
GCA_004024645.1,47180,Mirza coquereli,Coquerel's mouse lemur
GCA_004027495.1,59527,Beatragus hunteri,
GCF_004785775.1,491861,Grammomys surdaster,
GCA_004024825.1,54133,Pygathrix nemaeus,Red shanked douc langur
GCA_004027835.1,30589,Alouatta palliata,mantled howler monkey
GCA_004024625.1,9664,Mellivora capensis,ratel
GCF_000151885.1,10020,Dipodomys ordii,Ord's kangaroo rat
GCA_003258685.1,1328070,Prolemur simus,greater bamboo lemur
GCF_000260355.1,143302,Condylura cristata,star-nosed mole
GCA_004024945.1,182669,Uropsilus gracilis,gracile shrew mole
GCA_004027715.1,230833,Plecturocebus donacophilus,Bolivian titi
GCA_015472975.1,9408,Rousettus leschenaultii,Leschenault's rousette
GCA_023170115.1,68741,Speothos venaticus,bush dog
GCF_000951035.1,336983,Colobus angolensis palliatus,
GCA_004026745.1,71006,Myrmecophaga tridactyla,giant anteater
GCA_004026805.1,258930,Lasiurus borealis,red bat
GCA_004363455.1,302098,Eubalaena japonica,North Pacific right whale
GCA_025584935.1,27596,Bubalus depressicornis,lowland anoa
GCA_004027875.1,51342,Aplodontia rufa,mountain beaver
GCA_016801355.1,61394,Caracal caracal,caracal
GCF_000442215.2,118797,Lipotes vexillifer,Yangtze River dolphin
GCF_001595765.1,291302,Miniopterus natalensis,
GCA_004027085.1,48745,Mesoplodon bidens,Sowerby's beaked whale
GCA_004027025.1,10157,Myocastor coypus,nutria
GCA_004363605.1,34827,Indri indri,
GCA_004027185.1,41261,Glis glis,Fat dormouse
GCF_000299155.1,28737,Elephantulus edwardii,Cape elephant shrew
GCF_000349705.1,9713,Leptonychotes weddellii,Weddell seal
